Ciclo negativo: false
1 1 dist: 0
1 2 dist: 1
1 3 dist: 5
1 4 dist: 3
1 5 dist: 1
1 6 dist: 4
1 7 dist: 2
1 8 dist: 2
1 9 dist: 2
2 1 dist: 1
2 2 dist: 0
2 3 dist: 4
2 4 dist: 4
2 5 dist: 2
2 6 dist: 5
2 7 dist: 3
2 8 dist: 1
2 9 dist: 1
3 1 dist: 5
3 2 dist: 4
3 3 dist: 0
3 4 dist: 8
3 5 dist: 6
3 6 dist: 9
3 7 dist: 7
3 8 dist: 5
3 9 dist: 5
4 1 dist: 3
4 2 dist: 4
4 3 dist: 8
4 4 dist: 0
4 5 dist: 4
4 6 dist: 7
4 7 dist: 5
4 8 dist: 5
4 9 dist: 5
5 1 dist: 1
5 2 dist: 2
5 3 dist: 6
5 4 dist: 4
5 5 dist: 0
5 6 dist: 3
5 7 dist: 1
5 8 dist: 3
5 9 dist: 3
6 1 dist: 4
6 2 dist: 5
6 3 dist: 9
6 4 dist: 7
6 5 dist: 3
6 6 dist: 0
6 7 dist: 2
6 8 dist: 6
6 9 dist: 6
7 1 dist: 2
7 2 dist: 3
7 3 dist: 7
7 4 dist: 5
7 5 dist: 1
7 6 dist: 2
7 7 dist: 0
7 8 dist: 4
7 9 dist: 4
8 1 dist: 2
8 2 dist: 1
8 3 dist: 5
8 4 dist: 5
8 5 dist: 3
8 6 dist: 6
8 7 dist: 4
8 8 dist: 0
8 9 dist: 2
9 1 dist: 2
9 2 dist: 1
9 3 dist: 5
9 4 dist: 5
9 5 dist: 3
9 6 dist: 6
9 7 dist: 4
9 8 dist: 2
9 9 dist: 0
